EN,EM,Description,Composition strategy,Attribute
sufficient income,💸,[':money_with_wings:'],Single,QUANTITY
medium interval,🪡,[':sewing_needle:'],Single,LENGTH
glowing lamp,🌕,[':full_moon:'],Single,LIGHT
vast emotion,🗣️,[':speaking_head:'],Single,DEPTH
resounding call,📣,[':megaphone:'],Single,VOLUME
dire problem,🆘,[':SOS_button:'],Single,CRISIS
outlying side,🌐,[':globe_showing_Americas:'],Single,DISTANCE
delightful spot,🕊️,[':dove:'],Single,PLEASANTNESS
secure blanket,🛏️,[':bed:'],Single,COMFORT
extended distance,🪡,[':sewing_needle:'],Single,LENGTH
internal core,🤫,[':shushing_face:'],Single,INWARDNESS
inadequate funding,💲,[':heavy_dollar_sign:'],Single,QUANTITY
warm nook,🛏️,[':bed:'],Single,COMFORT
crisp lettuce,🍏,[':green_apple:'],Single,FRESHNESS
gleaming corner,🌑,[':new_moon:'],Single,LIGHT
insufficient temperature,📈,[':chart_increasing:'],Single,DEGREE
subjective vision,☸️,[':wheel_of_dharma:'],Single,INWARDNESS
humid cloth,🏝️,[':desert_island:'],Single,WETNESS
opaque covering,🌫️,[':fog:'],Single,THICKNESS
precise judgement,✔️,[':check_mark:'],Single,CORRECTNESS
critical disaster,🚑,[':ambulance:'],Single,CRISIS
loaded cargo,🤘,[':sign_of_the_horns:'],Single,WEIGHT
bright lantern,☀️,[':sun:'],Single,LIGHT
spacious room,🗼,[':tokyo_tower:'],Single,SIZE
sound structure,🤝,[':handshake:'],Single,INTEGRITY
moist atmosphere,🚿,[':shower:'],Single,WETNESS
extreme index,📉,[':chart_decreasing:'],Single,DEGREE
fair consumption,🔅,[':dim_button:'],Single,MODERATION
creamy paste,🥣,[':bowl_with_spoon:'],Single,CONSISTENCY
crucial decision,🔑,[':key:'],Single,IMPORTANCE
dire condition,🚨,[':police_car_light:'],Single,CRISIS
mild measure,⚖️,[':balance_scale:'],Single,MODERATION
lucid water,🔎,[':magnifying_glass_tilted_left:'],Single,CLEARNESS
complete structure,🕵️‍♂️,[':man_detective:'],Single,INTEGRITY
right alignment,👉,[':backhand_index_pointing_right:'],Single,POSITION
pale painting,🖌️,[':paintbrush:'],Single,COLOR
abundant stock,🏦,[':bank:'],Single,QUANTITY
significant agenda,🗓️,[':spiral_calendar:'],Single,IMPORTANCE
